25-Aug-19 20:22:09 - 127.0.0.1 - - [25/Aug/2019 20:22:09] "GET /webapi/product_filters_front/plie_test/there/CUSTOM_SEARCH/deliver HTTP/1.1" 200 -
25-Aug-19 20:22:09 - 127.0.0.1 - - [25/Aug/2019 20:22:09] "GET /webapi/product_filters_front/plie_test/there/CUSTOM_SEARCH/public HTTP/1.1" 200 -
25-Aug-19 20:22:09 - 127.0.0.1 - - [25/Aug/2019 20:22:09] "GET /webapi/product_filters_front/plie_test/there/CUSTOM_SEARCH/price HTTP/1.1" 200 -
25-Aug-19 20:22:12 - 127.0.0.1 - - [25/Aug/2019 20:22:12] "OPTIONS /webapi/products_filtered_front/plie_test/there/busca?s=2 HTTP/1.1" 200 -
25-Aug-19 20:22:12 - Function: get_database_products_filtered_front - When: Getting - Message: 'min_price' - Arguments: store_id: 5c914d8e78de470068b0d1d3 - store_code: plie_test - search_word: there - search_type: busca - json_filter: {'category': [], 'public': [], 'deliver': [], 'state': [], 'order': '--- Ordenar por ---'} - start: 2
25-Aug-19 20:22:12 - 127.0.0.1 - - [25/Aug/2019 20:22:12] "POST /webapi/products_filtered_front/plie_test/there/busca?s=2 HTTP/1.1" 200 -
25-Aug-19 21:06:15 - 127.0.0.1 - - [25/Aug/2019 21:06:15] "GET /webapi/categories?sc=plie_test HTTP/1.1" 200 -
25-Aug-19 21:06:15 - 127.0.0.1 - - [25/Aug/2019 21:06:15] "GET /webapi/store_front_one/plie_test HTTP/1.1" 200 -
25-Aug-19 21:06:15 - 127.0.0.1 - - [25/Aug/2019 21:06:15] "GET /webapi/product_search_front/plie_test/there?s=1 HTTP/1.1" 200 -
25-Aug-19 21:06:15 - 127.0.0.1 - - [25/Aug/2019 21:06:15] "GET /webapi/product_filters_front/plie_test/there/CUSTOM_SEARCH/deliver HTTP/1.1" 200 -
25-Aug-19 21:06:15 - 127.0.0.1 - - [25/Aug/2019 21:06:15] "GET /webapi/product_filters_front/plie_test/there/CUSTOM_SEARCH/public HTTP/1.1" 200 -
